No,Time,Sample Type,Label,6Li (KED),23Na (KED) [ppb],24Mg (KED) [ppb],27Al (KED) [ppb],39K (KED) [ppb],44Ca (KED) [ppb],32S (KED) [ppb],51V (KED) [ppb],52Cr (KED) [ppb],55Mn (KED) [ppb],57Fe (KED) [ppb],59Co (KED) [ppb],60Ni (KED) [ppb],63Cu (KED) [ppb],66Zn (KED) [ppb],71Ga (KED) [ppb],72Ge (KED) [ppb],75As (KED) [ppb],77Se (KED) [ppb],88Sr (KED) [ppb],95Mo (KED) [ppb],105Pd (KED) [ppb],107Ag (KED) [ppb],111Cd (KED) [ppb],182W (KED) [ppb],45Sc (KED),208Pb (KED) [ppb],89Y (KED),113In (KED),209Bi (KED),238U (KED) [ppb],159Tb (KED),Date,Notes,Type,31P (KED) [ppb],90Zr (KED) [ppb],115In (KED),118Sn (KED) [ppb],130Te (KED) [ppb],47Ti (KED) [ppb],195Pt (KED) [ppb],232Th (KED) [ppm],45Sc (KED) [ppb]
1,,UNKNOWN,01_Rinse,0.1%,130400.1525,10422.20237,1396.984766,199087.3666,38527.80337,75915966.18,212.3076525,498.7710479,743.1854909,3769.510888,209.5697032,1152.585564,12250.25805,70046.85017,124.6658603,5019.025112,921.1009592,1411.837287,12330.60817,-76410615.62,-1286672.964,42544.28419,109949.6742,1995025.685,0.0%,771.2159344,0.0%,0.0%,0.0%,156.6458887,0.0%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
1,,,1,0.1%,12446.24224,1347.787037,233.5534831,82591.73591,31329.34248,15954852.22,187.3914749,476.6294567,478.5372542,722.9202229,162.9758257,1149.776857,8877.693703,53476.88704,81.89351875,7773.422656,719.2350169,788.3521175,9457.89768,-16513105.31,-53083.66284,1488.714581,1381.585276,1142958.636,0.0%,580.2799998,0.0%,0.0%,0.0%,98.85640991,0.0%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
1,,,2,0.1%,6869.26842,603.7941553,98.517179,48517.00305,27674.97501,8491997.789,353.9630197,778.499163,1073.803201,8677.154038,325.9536946,1604.351506,18610.12819,108609.5106,245.6820493,3886.705014,1643.976337,3941.769294,21639.76443,-330754214.9,-6307457.582,208928.3816,547136.7014,2036581.629,0.0%,825.2290035,0.0%,0.0%,0.0%,167.269303,0.0%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
1,,,3,0.0%,592960.9954,47145.4129,5966.309318,636460.8656,69899.43779,307564394.3,208.9934843,372.371839,846.1985874,4376.723356,211.2265949,1190.726294,13120.28111,73922.29853,169.0863845,5365.410533,860.2410212,-0.001940157,16044.14221,-9271115.946,-19961.92351,718.8307557,230.9963593,2195895.533,0.0%,678.2037104,0.0%,0.0%,0.0%,127.0927594,0.0%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
1,,,4,0.1%,13406.35993,1235.887822,279.0661864,87359.14434,31473.2946,16948110.86,175.8525871,492.997077,757.1478626,1816.946969,209.789987,855.4747832,10958.34321,61831.09758,44.77383776,4182.878853,731.3169485,1146.53801,4675.017415,-12283915.88,-19503.42681,863.0730697,230.0331256,2155266.662,0.0%,852.4803278,0.0%,0.0%,0.0%,192.871932,0.0%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
1,,,5,0.0%,26317.89662,1778.129914,407.4776629,140508.084,32261.96696,30620475.73,135.3376965,373.3577037,560.2405499,3253.809855,137.9024139,962.5983784,9684.844056,52394.45709,81.89351106,3886.708503,650.735472,1182.528956,9836.219135,-13230726.09,-33358.22413,722.4209053,769.0548795,2444425.967,0.0%,919.8866304,0.0%,0.0%,0.0%,197.1390391,0.0%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,Mean:,0.1%,130400.1525,10422.20237,1396.984766,199087.3666,38527.80337,75915966.18,212.3076525,498.7710479,743.1854909,3769.510888,209.5697032,1152.585564,12250.25805,70046.85017,124.6658603,5019.025112,921.1009592,1411.837287,12330.60817,-76410615.62,-1286672.964,42544.28419,109949.6742,1995025.685,0.0%,771.2159344,0.0%,0.0%,0.0%,156.6458887,0.0%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,RSD [%]:,82.4022283,198.3720858,197.0139922,183.0167302,123.9178423,45.75070284,170.9011918,39.37368387,33.31992874,31.81488037,81.56622677,34.45473096,24.91749919,31.83330929,33.14227498,65.48634828,32.99562084,44.63484608,105.6855534,53.41667377,186.107461,218.1391266,218.6241499,222.2793661,25.00878915,26.14561883,17.95901592,74.68947361,68.05423404,20.55187546,27.23038223,14.4004165,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,SD:,0.0%,258677.5025,20533.19696,2556.71584,246704.7689,17626.74083,129741291,83.59334393,166.1901577,236.4435749,3074.647799,72.20667742,287.1954985,3899.662535,23215.11969,81.63911945,1656.058496,411.1319954,1492.108051,6586.600743,142205856.7,2806737.166,93012.07964,244395.4389,498931.7671,0.0%,138.5027924,0.0%,0.0%,0.0%,42.65527424,0.0%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
No,,Sample Type,Label,6Li (KED),23Na (KED) [ppb],24Mg (KED) [ppb],27Al (KED) [ppb],39K (KED) [ppb],44Ca (KED) [ppb],32S (KED) [ppb],51V (KED) [ppb],52Cr (KED) [ppb],55Mn (KED) [ppb],57Fe (KED) [ppb],59Co (KED) [ppb],60Ni (KED) [ppb],63Cu (KED) [ppb],66Zn (KED) [ppb],71Ga (KED) [ppb],72Ge (KED) [ppb],75As (KED) [ppb],77Se (KED) [ppb],88Sr (KED) [ppb],95Mo (KED) [ppb],105Pd (KED) [ppb],107Ag (KED) [ppb],111Cd (KED) [ppb],182W (KED) [ppb],45Sc (KED),208Pb (KED) [ppb],89Y (KED),113In (KED),209Bi (KED),238U (KED) [ppb],159Tb (KED),,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
2,,BLK,,100.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0%,0,100.0%,100.0%,100.0%,0,100.0%,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
2,,BLK,02_Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,Residuum:,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,IDL(LOD):,,0.6,0.1,0.4,0.6,0.7,293.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.9,,0.0,,,,0.0,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECAL_Bloom(Prather)_20251217.csv,,,,,,,,,,
