label,timestamp,location,air_volume_m3,60Ni (KED) [ppb]__ng_m3,60Ni (KED) [ppb]__ng_m3_sd
915PMS_air,2025-09-15 19:00:00,STR,288.0,0.3052294765780269,0.004338019887590263
915PMC_air,2025-09-15 19:00:00,SC,288.0,0.4507537812174399,0.003885462490931016
2,2025-09-15 19:00:00,SIO,288.0,0.37921083128981714,0.007937640799852945
916PMS_air,2025-09-16 07:00:00,STR,288.0,0.3126144238791946,0.00521152887758939
916AMC_air,2025-09-16 07:00:00,SC,288.0,0.21200731343519577,0.0034880864150727514
3,2025-09-16 07:00:00,SIO,288.0,0.24235801729118056,0.007776867700175912
916PMC_air,2025-09-16 19:00:00,SC,288.0,0.31632402239759855,0.00183802877422004
4,2025-09-16 19:00:00,SIO,288.0,0.24488010891876355,0.008171546324697555
917AMS_air,2025-09-17 07:00:00,SC,288.0,0.403791480391027,0.0035366181437900554
917AMC_air,2025-09-17 07:00:00,SC,288.0,0.14269216341223523,0.0025577249597689847
5,2025-09-17 07:00:00,SIO,288.0,0.349019020826647,0.01413188424349848
1A,2025-09-17 19:00:00,SIO,288.0,0.18873356586844675,0.0082199268042835
917PMS_air,2025-09-17 19:00:00,STR,288.0,0.21910095624188328,0.0034918079249048246
917PMC_air,2025-09-17 19:00:00,SC,288.0,0.4223086453082065,0.0058966239316631955
918AMS_air,2025-09-18 07:00:00,STR,288.0,0.29490220888359264,0.005412266496028102
2A,2025-09-18 07:00:00,SIO,288.0,0.3112920820082733,0.007764053511777706
3A,2025-09-18 19:00:00,SIO,288.0,0.20685368076959165,0.0026320920406185983
11A,2025-09-18 19:00:00,SC,288.0,0.19733515263185766,0.0039031702949597034
4A,2025-09-19 07:00:00,SIO,288.0,0.21086043072517188,0.004658193272333886
1B,2025-09-19 07:00:00,SC,288.0,0.3260945661402471,0.005133725689024427
7B,2025-09-19 19:00:00,STR,288.0,0.19151322702066315,0.006292235445135771
5A,2025-09-19 19:00:00,SIO,288.0,4.7090513072758196,0.10025509009730973
2B,2025-09-19 19:00:00,SC,288.0,0.20504412532280272,0.003929910422901933
8B,2025-09-20 07:00:00,STR,288.0,3.4972003024620135,0.03896741832794448
3B,2025-09-20 07:00:00,SC,288.0,0.140471116258926,0.002990530538991681
6A,2025-09-20 07:00:00,SIO,288.0,0.20384717107645176,0.005594468998101892
9B,2025-09-20 19:00:00,STR,288.0,0.23476664770519476,0.0034258034420099172
4B,2025-09-20 19:00:00,SC,288.0,0.14962249296539165,0.0042332965738081626
7A,2025-09-20 19:00:00,SIO,288.0,0.1471830339430016,0.004773989744823309
5B,2025-09-21 07:00:00,SC,288.0,0.3561618809489672,0.006724655014314759
6,2025-09-21 07:00:00,SIO,288.0,0.19869094466702,0.004072839643391292
10B,2025-09-21 07:00:00,STR,288.0,0.3433227487694284,0.0052907962175579104
7,2025-09-21 19:00:00,SIO,288.0,0.14249734362524402,0.005482290668432464
6B,2025-09-21 19:00:00,SC,288.0,0.23742900105219436,0.0043022480145771865
11B,2025-09-21 19:00:00,STR,288.0,0.25067435436825986,0.00741173054738876
10,2025-09-22 07:00:00,SC,288.0,0.1645462432689734,0.00976236701954159
12B,2025-09-22 07:00:00,STR,288.0,0.19747411324801345,0.010358221919710746
12B,2025-09-22 07:00:00,STR,288.0,0.2837577341839338,0.003900238313059733
8,2025-09-22 07:00:00,SIO,288.0,0.13980428321913843,0.002479983448283928
9,2025-09-22 19:00:00,SIO,288.0,0.14746011832794603,0.00640442145431014
9A,2025-09-22 19:00:00,STR,288.0,0.23426202851791444,0.0045349172452131895
10A,2025-09-23 07:00:00,STR,288.0,0.22313464365431154,0.005621301633141825
12A,2025-09-23 07:00:00,SC,288.0,0.14173491886479028,0.0038351355735848536
